T,p,N,Lamb,Epsilon0,Recall_1,Precision_1,F1 score-1,Recall_2,Precision_2,F1 score-2,Recall_3,Precision_3,F1 score-3,Recall_avg,Precision_avg,F1 score-avg, BIC,runtime(s), total edges(directed)
1,65,200,0.802643352225717,0.1,0.0376569037656904,0.214285714285714,0.0640569395017794,0.0795454545454545,0.355932203389831,0.130030959752322,0.180555555555556,0.348993288590604,0.237986270022883,0.0992526379555668,0.30640373542205,0.144024723092328,136574.196353442,0.506999999999998,1048
1,65,200,0.731680714342719,0.1,0.0376569037656904,0.183673469387755,0.0625,0.0909090909090909,0.352941176470588,0.144578313253012,0.197916666666667,0.337278106508876,0.24945295404814,0.108827553780483,0.291297584122406,0.152177089100384,152357.710699965,0.508000000000003,1168
1,65,200,0.666991966303012,0.1,0.0502092050209205,0.214285714285714,0.0813559322033898,0.0909090909090909,0.324324324324324,0.142011834319527,0.204861111111111,0.331460674157303,0.253218884120172,0.115326469013708,0.290023570922447,0.158862216881029,166036.22041533,0.539000000000001,1272
1,65,200,0.608022426164942,0.1,0.0543933054393305,0.206349206349206,0.0860927152317881,0.113636363636364,0.344827586206897,0.170940170940171,0.215277777777778,0.316326530612245,0.256198347107438,0.127769148951157,0.289167774389449,0.171077077759799,187119.249351982,0.486999999999995,1432
1,65,200,0.554266452066311,0.1,0.0794979079497908,0.246753246753247,0.120253164556962,0.136363636363636,0.36734693877551,0.198895027624309,0.21875,0.313432835820896,0.257668711656442,0.144870514771142,0.309177673783217,0.192272301279238,205567.233849861,0.498999999999995,1572
1,65,200,0.505263106533568,0.1,0.0794979079497908,0.231707317073171,0.118380062305296,0.147727272727273,0.367924528301887,0.210810810810811,0.225694444444444,0.314009661835749,0.262626262626263,0.150973208373836,0.304547169070269,0.19727237858079,219794.638109395,0.496000000000002,1680
1,65,200,0.46059220411451,0.1,0.0878661087866109,0.235955056179775,0.128048780487805,0.15530303030303,0.369369369369369,0.218666666666667,0.256944444444444,0.323144104803493,0.286266924564797,0.166704527844695,0.309489510117546,0.210994123906423,238254.035999268,0.502000000000002,1820
1,65,200,0.419870708444391,0.1,0.0920502092050209,0.22,0.129793510324484,0.162878787878788,0.358333333333333,0.223958333333333,0.267361111111111,0.313008130081301,0.288389513108614,0.17409670273164,0.297113821138211,0.214047118922144,257246.247762439,0.506999999999998,1964
1,65,200,0.382749447851631,0.1,0.108786610878661,0.226086956521739,0.146892655367232,0.181818181818182,0.366412213740458,0.243037974683544,0.274305555555556,0.305019305019305,0.288848263254113,0.188303449417466,0.299172825093834,0.22625963110163,282846.708300892,0.498999999999995,2158
1,65,200,0.348910121340677,0.1,0.125523012552301,0.241935483870968,0.165289256198347,0.204545454545455,0.380281690140845,0.266009852216749,0.3125,0.319148936170213,0.315789473684211,0.214189489032585,0.313788703394009,0.249029527366435,304487.897813591,0.506,2322
1,65,200,0.318062569279412,0.1,0.150627615062762,0.243243243243243,0.186046511627907,0.223484848484848,0.36875,0.278301886792453,0.326388888888889,0.313333333333333,0.319727891156463,0.233500450812166,0.308442192192192,0.261358763192274,330887.080716529,0.505999999999993,2520
1,65,200,0.289942285388288,0.1,0.163179916317992,0.245283018867925,0.195979899497487,0.238636363636364,0.357954545454545,0.286363636363636,0.340277777777778,0.314102564102564,0.326666666666667,0.247364685910711,0.305780042808345,0.269670067509263,352797.862298754,0.509,2688
1,65,200,0.264308148697411,0.1,0.200836820083682,0.263736263736264,0.228028503562945,0.253787878787879,0.341836734693878,0.291304347826087,0.34375,0.304615384615385,0.32300163132137,0.266124899623854,0.303396127681842,0.280778160903468,381843.491370851,0.540999999999997,2908
1,65,200,0.240940356023952,0.1,0.225941422594142,0.266009852216749,0.244343891402715,0.261363636363636,0.305309734513274,0.281632653061224,0.361111111111111,0.304985337243402,0.330683624801272,0.282805390022963,0.292101641324475,0.28555338975507,413796.737259384,0.491999999999997,3150
1,65,200,0.219638537241655,0.1,0.234309623430962,0.253393665158371,0.243478260869565,0.276515151515151,0.294354838709677,0.28515625,0.371527777777778,0.299719887955182,0.331782945736434,0.294117517574631,0.282489463941077,0.286805818868666,441260.620928537,0.500999999999998,3358
1,65,200,0.200220037181558,0.1,0.246861924686192,0.25,0.248421052631579,0.295454545454545,0.28996282527881,0.292682926829268,0.388888888888889,0.296296296296296,0.336336336336336,0.310401786343209,0.278753040525036,0.292480105265728,477179.444773154,0.5,3628
1,65,200,0.182518349431904,0.1,0.255230125523013,0.241106719367589,0.247967479674797,0.310606060606061,0.281786941580756,0.295495495495495,0.399305555555556,0.289672544080605,0.335766423357664,0.321713913894876,0.270855401676316,0.293076466175986,510721.845535886,0.503999999999998,3884
1,65,200,0.166381688607613,0.1,0.255230125523013,0.226765799256506,0.240157480314961,0.321969696969697,0.274193548387097,0.29616724738676,0.413194444444444,0.288135593220339,0.339514978601997,0.330131422312385,0.263031646954647,0.291946568767906,540302.64300808,0.503,4108
1,65,200,0.151671688847092,0.1,0.267782426778243,0.224561403508772,0.244274809160305,0.34469696969697,0.274924471299094,0.305882352941176,0.427083333333333,0.286046511627907,0.342618384401114,0.346520909936182,0.261844128811924,0.297591848834199,576752.901938711,0.502000000000002,4384
1,65,200,0.138262217376466,0.1,0.284518828451883,0.224422442244224,0.250922509225092,0.363636363636364,0.275071633237822,0.313213703099511,0.444444444444444,0.286995515695067,0.348773841961853,0.36419987884423,0.262163197059038,0.304303351428819,612411.388570774,0.504000000000005,4652
1,65,200,0.126038292967973,0.1,0.297071129707113,0.216463414634146,0.250440917107584,0.409090909090909,0.283464566929134,0.334883720930233,0.454861111111111,0.281115879828326,0.347480106100796,0.387007716636378,0.260347953797202,0.310934914712871,653882.400892995,0.506,4966
1,65,200,0.114895100018731,0.1,0.309623430962343,0.21264367816092,0.252129471890971,0.439393939393939,0.284313725490196,0.345238095238095,0.472222222222222,0.283333333333333,0.354166666666667,0.407079864192835,0.26009691232815,0.317178077931911,692712.267819077,0.509999999999998,5262
1,65,200,0.104737089795945,0.1,0.338912133891213,0.21832884097035,0.265573770491803,0.446969696969697,0.272517321016166,0.338593974175036,0.493055555555556,0.286868686868687,0.362707535121328,0.426312462138822,0.259238282951735,0.322291759929389,725995.034052844,0.536999999999999,5512
1,65,200,0.0954771611420807,0.1,0.347280334728033,0.213917525773196,0.264752791068581,0.484848484848485,0.280701754385965,0.355555555555556,0.503472222222222,0.284872298624754,0.363864491844417,0.445200347266247,0.259830526261305,0.328057612822851,765090.098670305,0.484000000000002,5804
1,65,200,0.0870359136148517,0.1,0.376569037656904,0.220588235294118,0.278207109737249,0.515151515151515,0.282157676348548,0.364611260053619,0.524305555555556,0.284369114877589,0.368742368742369,0.472008702787992,0.262371675506752,0.337186912844412,802864.687280707,0.537999999999997,6094
1,65,200,0.0793409666579749,0.1,0.397489539748954,0.22196261682243,0.284857571214393,0.53030303030303,0.278884462151394,0.365535248041775,0.538194444444444,0.282846715328467,0.370813397129187,0.488662338165476,0.26123126476743,0.340402072128452,837733.722824912,0.499000000000002,6354
1,65,200,0.0723263389648353,0.1,0.426778242677824,0.225663716814159,0.295224312590449,0.564393939393939,0.284351145038168,0.378172588832487,0.548611111111111,0.279646017699115,0.370457209847597,0.513261097727625,0.263220293183814,0.347951370423511,870753.829835807,0.499000000000002,6608
1,65,200,0.0659318827133354,0.1,0.443514644351464,0.21900826446281,0.293222683264177,0.598484848484849,0.285198555956679,0.386308068459658,0.5625,0.27979274611399,0.373702422145329,0.534833164278771,0.261333188844493,0.351077724623054,909321.857572402,0.506999999999998,6900
1,65,200,0.0601027678207039,0.1,0.493723849372385,0.232283464566929,0.315930388219545,0.632575757575758,0.290434782608696,0.398092967818832,0.604166666666667,0.289517470881864,0.391451068616423,0.576822091204936,0.270745239352496,0.368491474884933,948946.795439739,0.501999999999995,7200
1,65,200,0.0547890117959395,0.1,0.514644351464435,0.235181644359465,0.322834645669291,0.640151515151515,0.27841845140033,0.388059701492537,0.604166666666667,0.285245901639344,0.387527839643653,0.586320844427539,0.266281999133046,0.36614072893516,980118.342438651,0.506,7438
1,65,200,0.0499450511585514,0.1,0.548117154811716,0.23992673992674,0.33375796178344,0.666666666666667,0.278481012658228,0.392857142857143,0.618055555555556,0.282988871224165,0.388222464558342,0.610946459011313,0.267132207936378,0.371612523066308,1013139.28580591,0.505999999999993,7682
