t,p,n,nu_0,mu,gamma,no_edges,bic value,precision_avg,recall_avg,F1_avg,Time(sec),mask_diag
10,100,2500,0.005,0.0017680381784572086,10,350.0,743577.6965529489,nan,0.0,nan,8.916015148162842,True
10,100,2500,0.005,0.0016369930016117019,10,350.0,743577.6965529489,nan,0.0,nan,9.021054744720459,True
10,100,2500,0.005,0.0015156607589006043,10,350.0,743577.6965529489,nan,0.0,nan,8.96466851234436,True
10,100,2500,0.005,0.0014033215376054848,10,350.0,743577.6965529489,nan,0.0,nan,9.383760213851929,True
10,100,2500,0.005,0.0012993087842004172,10,350.0,743577.6965529489,nan,0.0,nan,9.12451720237732,True
10,100,2500,0.005,0.0012030053494233243,10,350.0,743577.6965529489,nan,0.0,nan,9.238804817199707,True
10,100,2500,0.005,0.0011138398264826206,10,350.0,743577.6965529489,nan,0.0,nan,9.180473566055298,True
10,100,2500,0.005,0.0010312831606721848,10,350.0,743577.6965529489,nan,0.0,nan,9.075412511825562,True
10,100,2500,0.005,0.0009548455102782303,10,350.0,743577.6965529489,nan,0.0,nan,9.213522672653198,True
10,100,2500,0.005,0.0008840733401525063,10,350.0,743577.6965529489,nan,0.0,nan,8.882368326187134,True
10,100,2500,0.005,0.0008185467307069037,10,350.0,743577.6965529489,nan,0.0,nan,8.865067720413208,True
10,100,2500,0.005,0.000757876886362593,10,350.0,743577.6965529489,nan,0.0,nan,9.237785339355469,True
10,100,2500,0.005,0.0007017038286703836,10,350.0,743577.6965529489,nan,0.0,nan,9.050445795059204,True
10,100,2500,0.005,0.0006496942604146124,10,350.0,743577.6965529489,nan,0.0,nan,9.463581085205078,True
10,100,2500,0.005,0.0006015395880274845,10,350.0,743577.6965529489,nan,0.0,nan,8.903912782669067,True
10,100,2500,0.005,0.0005569540905800136,10,350.0,743577.6965529489,nan,0.0,nan,9.032675504684448,True
10,100,2500,0.005,0.0005156732244854974,10,350.0,743577.6965529489,nan,0.0,nan,9.303931951522827,True
10,100,2500,0.005,0.00047745205385661313,10,350.0,743577.6965529489,nan,0.0,nan,9.321720123291016,True
10,100,2500,0.005,0.0004420637972028539,10,350.0,743577.6965529489,nan,0.0,nan,9.089760065078735,True
10,100,2500,0.005,0.00040929848184524426,10,350.0,743577.6965529489,nan,0.0,nan,9.09598183631897,True
10,100,2500,0.005,0.00037896169806447236,10,350.0,743577.6965529489,nan,0.0,nan,9.166172742843628,True
10,100,2500,0.005,0.00035087344559027147,10,350.0,743577.6965529489,nan,0.0,nan,9.484012842178345,True
10,100,2500,0.005,0.00032486706558783747,10,350.0,743577.6965529489,nan,0.0,nan,9.390300512313843,True
10,100,2500,0.005,0.00030078825180431017,10,350.0,743577.6965529489,nan,0.0,nan,9.15462064743042,True
10,100,2500,0.005,0.0002784941350080644,10,350.0,743577.6965529489,nan,0.0,nan,9.308419942855835,True
10,100,2500,0.005,0.00025785243528842763,10,350.0,743577.6965529489,nan,0.0,nan,9.03374171257019,True
10,100,2500,0.005,0.0002387406771860647,10,350.0,743577.6965529489,nan,0.0,nan,9.707528114318848,True
10,100,2500,0.005,0.0002210454629971024,10,350.0,743577.6965529489,nan,0.0,nan,9.68309998512268,True
10,100,2500,0.005,0.00020466179993919897,10,350.0,743577.6965529489,nan,0.0,nan,9.296952724456787,True
10,100,2500,0.005,0.00018949247718738236,10,350.0,743577.6965529489,nan,0.0,nan,9.13291883468628,True
10,100,2500,0.005,0.00017544748908334597,10,350.0,743577.6965529489,nan,0.0,nan,9.144724607467651,True
10,100,2500,0.005,0.0001624435010958869,10,350.0,743577.6965529489,nan,0.0,nan,9.249122619628906,True
