T,p,N,Lamb,Epsilon0,Recall,Precision,F1 score, BIC,runtime(s), total edges(directed)
1,65,2000,0.000444878283112759,0.1,1,0.0545549464891673,0.103465346534653,4390269.41158661,1.119,7662
1,65,2000,0.000405546073584083,0.1,1,0.0545478272217147,0.103452543002104,4390533.5977124,1.12900000000002,7663
1,65,2000,0.000369691270719502,0.1,1,0.0545478272217147,0.103452543002104,4391061.95719346,1.14500000000001,7663
1,65,2000,0.000337006432927192,0.1,1,0.0545335942596217,0.103426945441049,4391326.14134588,1.09899999999999,7665
1,65,2000,0.000307211299886176,0.1,1,0.0545122587376108,0.103388572841949,4391590.32463927,1.10899999999998,7668
1,65,2000,0.000280050389418363,0.1,1,0.0545051506063372,0.103375788302213,4392118.6815365,1.12799999999999,7669
1,65,2000,0.000255290806823952,0.1,1,0.0544980443285528,0.103363006923838,4392382.86333156,1.13999999999999,7670
1,65,2000,0.000232720247896041,0.1,1,0.0544980443285528,0.103363006923838,4392911.21886156,1.101,7670
1,65,2000,0.000212145178491063,0.1,1,0.0544980443285528,0.103363006923838,4393175.39940962,1.113,7670
1,65,2000,0.000193389175045523,0.1,1,0.0544909399035328,0.10335022870565,4393175.40502751,1.119,7671
1,65,2000,0.000176291411809595,0.1,1,0.0544909399035328,0.10335022870565,4393439.5845401,1.14499999999998,7671
1,65,2000,0.000160705281826164,0.1,1,0.0544838373305527,0.103337453646477,4393439.58921426,1.10299999999998,7672
1,65,2000,0.000146497139830728,0.1,1,0.0544838373305527,0.103337453646477,4393703.76786403,1.113,7672
1,65,2000,0.00013354515629299,0.1,1,0.0544838373305527,0.103337453646477,4393967.946139,1.125,7672
1,65,2000,0.000121738272773966,0.1,1,0.0544838373305527,0.103337453646477,4393967.94968368,1.14099999999999,7672
1,65,2000,0.000110975249641207,0.1,1,0.0544838373305527,0.103337453646477,4393967.95291555,1.09799999999998,7672
1,65,2000,0.000101163797976621,0.1,1,0.0544838373305527,0.103337453646477,4393967.95586217,1.10999999999999,7672
1,65,2000,9.22197882333432e-05,0.1,1,0.0544838373305527,0.103337453646477,4394232.13293594,1.166,7672
1,65,2000,8.40665288561832e-05,0.1,1,0.0544838373305527,0.103337453646477,4394232.13538525,1.14699999999999,7672
1,65,2000,7.66341086800746e-05,0.1,1,0.0544838373305527,0.103337453646477,4394232.1376183,1.101,7672
1,65,2000,6.98587974678525e-05,0.1,1,0.0544767366088883,0.103324681745149,4394232.13965415,1.11000000000001,7673
1,65,2000,6.36824994471859e-05,0.1,1,0.0544767366088883,0.103324681745149,4394232.1415102,1.16200000000001,7673
1,65,2000,5.8052255160949e-05,0.1,1,0.0544767366088883,0.103324681745149,4394232.14320232,1.09999999999999,7673
1,65,2000,5.29197873595844e-05,0.1,1,0.0544767366088883,0.103324681745149,4394232.14474496,1.10600000000002,7673
1,65,2000,4.82410870416537e-05,0.1,1,0.0544767366088883,0.103324681745149,4394232.14615133,1.126,7673
1,65,2000,4.39760360930272e-05,0.1,1,0.0544767366088883,0.103324681745149,4394760.496208,1.143,7673
1,65,2000,4.00880632889846e-05,0.1,1,0.0544767366088883,0.103324681745149,4394760.49737685,1.10500000000002,7673
1,65,2000,3.65438307095725e-05,0.1,1,0.0544767366088883,0.103324681745149,4394760.49844243,1.12300000000002,7673
1,65,2000,3.33129478793467e-05,0.1,1,0.0544767366088883,0.103324681745149,4394760.49941385,1.136,7673
1,65,2000,3.03677111803546e-05,0.1,1,0.0544767366088883,0.103324681745149,4394760.50029943,1.09799999999998,7673
1,65,2000,2.76828663039207e-05,0.1,1,0.0544767366088883,0.103324681745149,4394760.50110675,1.12099999999998,7673
1,65,2000,2.52353917043477e-05,0.1,1,0.0544767366088883,0.103324681745149,4394760.50184273,1.13,7673
1,65,2000,2.30043011977292e-05,0.1,1,0.0544767366088883,0.103324681745149,4394760.50251366,1.13900000000001,7673
1,65,2000,2.09704640132323e-05,0.1,1,0.0544767366088883,0.103324681745149,4394760.5031253,1.09900000000002,7673
1,65,2000,1.9116440753857e-05,0.1,1,0.0544767366088883,0.103324681745149,4394760.50368287,1.11799999999999,7673
1,65,2000,1.74263338600965e-05,0.1,1,0.0544767366088883,0.103324681745149,4394760.50419117,1.126,7673
1,65,2000,1.58856512942805e-05,0.1,1,0.0544767366088883,0.103324681745149,4395024.6790418,1.131,7673
1,65,2000,1.44811822767453e-05,0.1,1,0.0544767366088883,0.103324681745149,4395024.67946421,1.09899999999999,7673
1,65,2000,1.32008840083142e-05,0.1,1,0.0544767366088883,0.103324681745149,4395288.85423655,1.10999999999999,7673
1,65,2000,1.20337784077759e-05,0.1,1,0.0544767366088883,0.103324681745149,4395288.85458758,1.12099999999998,7673
1,65,2000,1.09698579789238e-05,0.1,1,0.0544767366088883,0.103324681745149,4395288.85490759,1.137,7673
1,65,2000,1e-05,0.1,1,0.0544767366088883,0.103324681745149,4395288.8551993,1.101,7673
