T,p,N,Lamb1,Lamb2,Recall,Precision,F1 score, BIC,runtime(s), total edges(directed)
10,200,2000,2.70495973046313,0.001,0,NA,NA,-4800096.77403318,0.800999999999995,0
10,200,2000,2.4658110758226,0.001,0,NA,NA,-4800096.77403318,0.796999999999997,0
10,200,2000,2.24780583354873,0.001,0,NA,NA,-4800096.77403318,0.789999999999999,0
10,200,2000,2.04907468981585,0.001,0,NA,NA,-4800096.77403318,0.795000000000002,0
10,200,2000,1.86791359902078,0.001,0,NA,NA,-4800096.77403318,0.793999999999997,0
10,200,2000,1.7027691722259,0.001,0,NA,NA,-4800096.77403318,0.856999999999992,0
10,200,2000,1.55222535742705,0.001,0,NA,NA,-4800096.77403318,0.807000000000002,0
10,200,2000,1.41499129743458,0.001,0,NA,NA,-4800096.77403318,0.807000000000002,0
10,200,2000,1.28989026125331,0.001,0,NA,NA,-4800096.77403318,0.797999999999988,0
10,200,2000,1.17584955405216,0.001,0,NA,NA,-4800096.77403318,0.795000000000002,0
10,200,2000,1.07189131920513,0.001,0,NA,NA,-4800096.77403318,0.804999999999993,0
10,200,2000,0.97712415353465,0.001,0,NA,NA,-4800096.77403318,0.796000000000006,0
10,200,2000,0.890735463861044,0.001,0,NA,NA,-4800096.77403318,0.804000000000002,0
10,200,2000,0.811984499318401,0.001,0,NA,NA,-4800096.77403318,0.816000000000003,0
10,200,2000,0.740195999691564,0.001,0,NA,NA,-4800096.77403318,0.803000000000011,0
10,200,2000,0.674754405311069,0.001,0,NA,NA,-4800096.77403318,0.798000000000002,0
10,200,2000,0.61509857885805,0.001,0,NA,NA,-4800096.77403318,0.790999999999997,0
10,200,2000,0.560716993820546,0.001,0,NA,NA,-4800096.77403318,0.796999999999997,0
10,200,2000,0.511143348344017,0.001,0,NA,NA,-4800096.77403318,0.796999999999997,0
10,200,2000,0.465952566866468,0.001,0,NA,NA,-4800096.77403318,0.798000000000002,0
10,200,2000,0.42475715525369,0.001,0,NA,NA,-4800096.77403318,0.793999999999997,0
10,200,2000,0.387203878181255,0.001,0,NA,NA,-4800096.77403318,0.795000000000002,0
10,200,2000,0.352970730273065,0.001,0,NA,NA,-4800096.77403318,0.801999999999992,0
10,200,2000,0.321764175025074,0.001,0,NA,NA,-4800096.77403318,0.850999999999999,0
10,200,2000,0.293316627839005,0.001,0,NA,NA,-4800096.77403318,0.801999999999992,0
10,200,2000,0.267384161583995,0.001,0,NA,NA,-4800096.77403318,0.805999999999997,0
10,200,2000,0.243744415012222,0.001,0,NA,NA,-4800096.77403318,0.800999999999988,0
10,200,2000,0.222194686093952,0.001,0,NA,NA,-4800096.77403318,0.802999999999997,0
10,200,2000,0.202550193923067,0.001,0,NA,NA,-4800096.77403318,0.798000000000002,0
10,200,2000,0.184642494289554,0.001,0,NA,NA,-4800096.77403318,0.805999999999997,0
10,200,2000,0.168318035333096,0.001,0,NA,NA,-4800096.77403318,0.801000000000002,0
10,200,2000,0.153436840893001,0.001,0,NA,NA,-4800096.77403318,0.801000000000002,0
10,200,2000,0.139871310264724,0.001,0,NA,NA,-4800096.77403318,0.804000000000002,0
10,200,2000,0.127505124071301,0.001,0,NA,NA,-4800096.77403318,0.816000000000003,0
10,200,2000,0.116232246867985,0.001,0,NA,NA,-4800096.77403318,0.810000000000002,0
10,200,2000,0.105956017927762,0.001,0,NA,NA,-4800096.77403318,0.793000000000006,0
10,200,2000,0.096588322411587,0.001,0,NA,NA,-4800096.77403318,0.799999999999997,0
10,200,2000,0.0880488358164346,0.001,0,NA,NA,-4800096.77403318,0.796999999999997,0
10,200,2000,0.0802643352225717,0.001,0,NA,NA,-4800096.77403318,0.798000000000002,0
10,200,2000,0.0731680714342719,0.001,0,NA,NA,-4800096.77403318,0.798000000000002,0
10,200,2000,0.0666991966303012,0.001,0,NA,NA,-4800096.77403318,0.790999999999997,0
10,200,2000,0.0608022426164942,0.001,0,NA,NA,-4797682.2847905,4.31699999999999,0
10,200,2000,0.0554266452066311,0.001,0.000137703112090333,0.2,0.000275216733177377,-4785640.33879384,18.759,5
10,200,2000,0.0505263106533568,0.001,0.000137703112090333,0.0769230769230769,0.000274914089347079,-4743132.69752256,21.614,13
10,200,2000,0.046059220411451,0.001,0.000688515560451666,0.135135135135135,0.0013700506918756,-4671126.19360844,42.877,37
10,200,2000,0.0419870708444391,0.001,0.00220324979344533,0.186046511627907,0.00435492651061513,-4510909.96718083,102.5,86
10,200,2000,0.0382749447851631,0.001,0.004957312035252,0.205714285714286,0.00968132311415893,-4229735.59103602,147.998,175
10,200,2000,0.0348910121340677,0.001,0.011567061415588,0.248520710059172,0.0221052631578947,-3732482.67648095,160.431,338
